10,0.000024,0.000019,0.000021,0.000018,0.000031,0.000020,0.000030,0.000019
24,0.000100,0.000028,0.000104,0.000027,0.000149,0.000034,0.000105,0.000037
60,0.000543,0.000038,0.000519,0.000045,0.000766,0.000092,0.000514,0.000065
88,0.001671,0.000068,0.001515,0.000076,0.001181,0.000100,0.000818,0.000103
288,0.043630,0.000414,0.039279,0.000457,0.008956,0.000305,0.006372,0.070825
396,0.211329,0.002165,0.209003,0.003080,0.030975,0.001239,0.024474,0.001321
456,0.308702,0.002500,0.175813,0.000797,0.010805,0.000249,0.003134,0.000253
1022,0.357283,0.001403,0.310227,0.001566,0.012943,0.000450,0.007090,0.000354
1578,1.503482,0.003297,1.330386,0.003395,0.029980,0.000723,0.016256,0.000674
2880,9.156127,0.010728,9.008678,0.010876,0.104107,0.001929,0.053635,0.002004
3868,22.243018,0.019123,22.552976,0.019346,0.187577,0.002827,0.095819,0.003269
